DATE,PM2.5,PM10,NO2,SO2,CO,OZONE,AQI,CONDITION
01/01/2023,175.0,126.0,4.0,2.0,41.0,27.0,175.0,Moderate
02/01/2023,272.0,147.0,3.0,1.0,48.0,28.0,272.0,Poor
03/01/2023,174.0,107.0,3.0,2.0,42.0,25.0,174.0,Moderate
04/01/2023,143.0,96.0,2.0,1.0,35.0,26.0,143.0,Moderate
06/01/2023,,,,,56.0,23.0,,
07/01/2023,,,,,,,,
11/01/2023,,,,,70.0,27.0,,
12/01/2023,251.0,135.0,6.0,2.0,83.0,16.0,251.0,Poor
13/01/2023,,,,,,,,
15/01/2023,,,,,61.0,20.0,,
16/01/2023,91.0,126.0,3.0,1.0,48.0,35.0,126.0,Moderate
17/01/2023,,,,,,,,
24/01/2023,,,,,57.0,30.0,,
25/01/2023,,,,,53.0,31.0,,
26/01/2023,34.0,49.0,2.0,,55.0,33.0,55.0,Satisfactory
27/01/2023,52.0,77.0,2.0,,63.0,16.0,77.0,Satisfactory
01/02/2023,,,,,33,54,,
02/02/2023,44,97,4,1,56,32,97,Satisfactory
03/02/2023,68,102,3,1,68,26,102,Moderate
08/02/2023,,,,0,54,62,,
09/02/2023,47,96,1,,53,40,96,Satisfactory
010/02/2023,44,90,2,,21,49,90,Satisfactory
